tag,count
1 khz,30
100 bpm,159
100 hz,13
104 bpm,13
110 bpm,97
115 bpm,15
118 bpm,19
12 khz,23
120 bpm,58
120ms,15
122 bpm,12
124 bpm,12
125 bpm,64
126 bpm,59
128 bpm,1783
130 bpm,46
132 bpm,13
135 bpm,12
136 bpm,17
138 bpm,49
140 bpm,97
145 bpm,16
148 bpm,11
150 hz,15
160 bpm,26
170 bpm,103
18 khz,27
180 bpm,28
19 khz,225
1920s,20
1930s,15
1950s,15
1960s,11
1970s,127
1980s,38
1990s,73
2 khz,15
200 hz,16
2000s,122
2010s,19
300 hz,15
3am,11
3d,31
3db,24
47 hz,35
4am,12
5 hz,22
5 khz,223
500 hz,18
60 bpm,28
60 hz,18
600 hz,13
65 bpm,16
66 bpm,31
68 bpm,39
70 bpm,81
70s,210
72 bpm,42
75 bpm,40
76 bpm,28
78 bpm,23
8 hz,14
8 khz,10
80 bpm,102
800 hz,14
808s,682
80s,221
82 bpm,27
83 hz,15
84 bpm,36
85 bpm,32
86 bpm,68
88 bpm,41
90 bpm,88
90 hz,12
90s,396
92 bpm,85
94 bpm,34
95 bpm,57
96 bpm,41
98 bpm,82
above,62
abrupt,41
absolutely,15
abstract,11
accent,37
accented,25
accents,145
accompaniment,13
accordion,50
acid,31
acoustic,449
across,16
adding,17
aesthetic,99
aesthetics,30
afterhours,16
aggresive,12
aggression,19
aggressive,386
ai,38
air,99
airy,109
alienation,15
alive,24
all,133
allowed,61
almost,27
alone,24
along,10
alt,21
alt-rock,10
alternate,31
alternating,41
alternative,322
alto,31
ambiance,169
ambience,451
ambiences,10
ambient,916
amen,28
amp,68
analog,1232
ancient,55
angeles,83
angelic,44
another,17
anthem,239
anthemic,94
apartment,12
appeal,14
appear,24
appears,10
approach,11
arabian,41
arabic,130
arc,27
arcade,11
arpeggiated,47
arpeggio,33
arpeggios,299
arps,20
arrangement,113
arrangements,75
asian,11
asmr,159
asphalt,33
atmosphere,1400
atmospheres,16
atmospheric,1672
atmospherics,46
attack,64
attacks,14
attitude,18
audible,64
audio,27
authentic,20
auto,44
autotune,95
autotuned,13
avant,26
avoid,16
awakening,12
awareness,10
background,106
backing,229
backup,16
balalaika,15
balearic,24
ballad,194
band,97
banger,11
banjo,16
bap,99
bar,119
barely,39
baritone,581
baroque,14
bars,229
based,19
basement,40
basic,12
bass,4036
bassline,431
basslines,173
beach,15
beat,943
beats,1105
beauty,26
becomes,11
bed,20
bedroom,29
beep,19
before,33
being,24
bell,31
bells,47
below,13
belting,14
bends,14
berghain,13
between,233
beyond,27
big,144
bilingual,92
binaural,52
birdsong,11
birthday,17
bit,67
bittersweet,43
black,40
blend,68
blended,39
blending,147
blood,24
blues,33
body,19
bold,12
bollywood,28
bonfire,26
